"data.race","data.income"
"13258","white","$10000 - 14999"
"13259","white","$25000 or more"
"13260","white","$8000 to 9999"
"13261","black","$10000 - 14999"
"13262","black","$10000 - 14999"
"13263","black","$3000 to 3999"
"13264","white","$6000 to 6999"
"13265","white","$3000 to 3999"
"13266","white","lt $1000"
"13267","white","$7000 to 7999"
"13268","white","$15000 - 19999"
"13269","white","$25000 or more"
"13270","white","$20000 - 24999"
"13271","white","$15000 - 19999"
"13272","white","$10000 - 14999"
"13273","white","$15000 - 19999"
"13274","white","$10000 - 14999"
"13275","white","$15000 - 19999"
"13276","white","$15000 - 19999"
"13277","white","$7000 to 7999"
"13278","white","$15000 - 19999"
"13280","white","$8000 to 9999"
"13281","white","$15000 - 19999"
"13282","white","$25000 or more"
"13283","white","$20000 - 24999"
"13284","white","$8000 to 9999"
"13285","white","$10000 - 14999"
"13286","white","lt $1000"
"13287","white","$15000 - 19999"
"13288","white","$10000 - 14999"
"13289","white","$10000 - 14999"
"13290","white","$25000 or more"
"13292","other","$20000 - 24999"
"13293","other","$10000 - 14999"
"13295","black","$20000 - 24999"
"13296","black","$10000 - 14999"
"13297","white","$15000 - 19999"
"13298","white","$20000 - 24999"
"13299","white","$25000 or more"
"13300","white","$25000 or more"
"13301","white","$10000 - 14999"
"13302","white","$25000 or more"
"13303","white","$20000 - 24999"
"13304","white","$15000 - 19999"
"13305","white","$25000 or more"
"13306","white","$15000 - 19999"
"13307","white","$20000 - 24999"
"13308","white","$25000 or more"
"13310","white","$7000 to 7999"
"13311","white","$10000 - 14999"
"13312","white","$25000 or more"
"13313","white","$25000 or more"
"13314","white","$25000 or more"
"13315","white","$25000 or more"
"13316","white","$25000 or more"
"13317","white","$20000 - 24999"
"13318","other","$25000 or more"
"13319","other","$10000 - 14999"
"13320","black","$25000 or more"
"13321","white","$20000 - 24999"
"13322","white","$8000 to 9999"
"13324","black","$25000 or more"
"13325","white","$10000 - 14999"
"13326","white","$25000 or more"
"13327","white","$3000 to 3999"
"13328","white","$10000 - 14999"
"13329","white","$15000 - 19999"
"13330","white","$20000 - 24999"
"13331","other","$25000 or more"
"13332","white","$10000 - 14999"
"13333","white","$25000 or more"
"13334","white","$25000 or more"
"13335","white","$25000 or more"
"13336","white","$20000 - 24999"
"13337","white","$6000 to 6999"
"13338","white","$25000 or more"
"13339","white","$10000 - 14999"
"13341","white","$25000 or more"
"13342","white","$25000 or more"
"13343","black","$20000 - 24999"
"13344","black","$10000 - 14999"
"13345","white","$10000 - 14999"
"13346","white","$6000 to 6999"
"13347","white","$25000 or more"
"13348","white","$20000 - 24999"
"13349","white","$10000 - 14999"
"13350","white","$10000 - 14999"
"13351","white","$20000 - 24999"
"13352","white","$20000 - 24999"
"13353","white","$10000 - 14999"
"13354","white","$1000 to 2999"
"13355","white","lt $1000"
"13356","white","$10000 - 14999"
"13357","white","$20000 - 24999"
"13358","white","$20000 - 24999"
"13359","white","$6000 to 6999"
"13360","white","$10000 - 14999"
"13361","black","$10000 - 14999"
"13362","white","$4000 to 4999"
"13363","white","$20000 - 24999"
"13364","white","$25000 or more"
"13365","white","$10000 - 14999"
"13366","white","$10000 - 14999"
"13367","white","$15000 - 19999"
"13368","white","$3000 to 3999"
"13369","white","$3000 to 3999"
"13371","white","$20000 - 24999"
"13372","white","$8000 to 9999"
"13374","white","$20000 - 24999"
"13375","white","$8000 to 9999"
"13376","white","$10000 - 14999"
"13377","white","$25000 or more"
"13378","white","$10000 - 14999"
"13380","white","$10000 - 14999"
"13381","white","$15000 - 19999"
"13383","white","$8000 to 9999"
"13384","white","$15000 - 19999"
"13385","white","$25000 or more"
"13386","white","$25000 or more"
"13387","white","$25000 or more"
"13388","white","$25000 or more"
"13389","white","$20000 - 24999"
"13390","white","$25000 or more"
"13391","white","$10000 - 14999"
"13392","white","$25000 or more"
"13393","white","$20000 - 24999"
"13394","white","$25000 or more"
"13396","white","$15000 - 19999"
"13397","white","$3000 to 3999"
"13399","white","$15000 - 19999"
"13400","white","$20000 - 24999"
"13401","white","$6000 to 6999"
"13402","white","$6000 to 6999"
"13403","white","$10000 - 14999"
"13404","white","$10000 - 14999"
"13405","white","$20000 - 24999"
"13406","white","$8000 to 9999"
"13407","white","$7000 to 7999"
"13408","white","$5000 to 5999"
"13409","white","$25000 or more"
"13411","white","$10000 - 14999"
"13412","white","$10000 - 14999"
"13413","white","$10000 - 14999"
"13414","white","$20000 - 24999"
"13415","white","$25000 or more"
"13416","white","$25000 or more"
"13417","white","$10000 - 14999"
"13418","white","$15000 - 19999"
"13419","white","$5000 to 5999"
"13420","white","$15000 - 19999"
"13421","white","$1000 to 2999"
"13422","white","$20000 - 24999"
"13423","white","$25000 or more"
"13424","white","$25000 or more"
"13425","white","$7000 to 7999"
"13426","white","$10000 - 14999"
"13427","white","$25000 or more"
"13428","white","$10000 - 14999"
"13430","white","$10000 - 14999"
"13431","white","$6000 to 6999"
"13432","white","$25000 or more"
"13433","white","$6000 to 6999"
"13434","white","$8000 to 9999"
"13435","white","$10000 - 14999"
"13436","white","$5000 to 5999"
"13437","white","$4000 to 4999"
"13438","white","$8000 to 9999"
"13439","white","$25000 or more"
"13440","white","$4000 to 4999"
"13441","white","$4000 to 4999"
"13442","white","$3000 to 3999"
"13443","white","$10000 - 14999"
"13444","white","$8000 to 9999"
"13445","white","$10000 - 14999"
"13446","white","$3000 to 3999"
"13447","white","$10000 - 14999"
"13448","white","$8000 to 9999"
"13449","white","$1000 to 2999"
"13450","white","$5000 to 5999"
"13451","white","$20000 - 24999"
"13452","white","$7000 to 7999"
"13453","white","$1000 to 2999"
"13454","white","$5000 to 5999"
"13455","white","$10000 - 14999"
"13456","white","$25000 or more"
"13457","white","$15000 - 19999"
"13458","white","$7000 to 7999"
"13459","white","$25000 or more"
"13460","white","$20000 - 24999"
"13462","white","$10000 - 14999"
"13463","white","$25000 or more"
"13464","white","$10000 - 14999"
"13465","white","$25000 or more"
"13467","white","$10000 - 14999"
"13468","white","$25000 or more"
"13469","white","$20000 - 24999"
"13470","white","$5000 to 5999"
"13471","other","$6000 to 6999"
"13472","white","$20000 - 24999"
"13473","white","$20000 - 24999"
"13474","white","$25000 or more"
"13475","white","$25000 or more"
"13476","white","$3000 to 3999"
"13477","white","$25000 or more"
"13479","white","$10000 - 14999"
"13480","white","$10000 - 14999"
"13481","white","$25000 or more"
"13482","white","$25000 or more"
"13483","white","$15000 - 19999"
"13484","white","$25000 or more"
"13485","white","$25000 or more"
"13486","white","$25000 or more"
"13487","white","$10000 - 14999"
"13488","white","$25000 or more"
"13489","white","$10000 - 14999"
"13490","white","$4000 to 4999"
"13491","white","$25000 or more"
"13492","white","$1000 to 2999"
"13493","white","$25000 or more"
"13495","white","$4000 to 4999"
"13496","white","$20000 - 24999"
"13497","white","$25000 or more"
"13498","white","$15000 - 19999"
"13499","white","$8000 to 9999"
"13500","black","$7000 to 7999"
"13501","other","$10000 - 14999"
"13502","white","$10000 - 14999"
"13503","white","$20000 - 24999"
"13504","white","$25000 or more"
"13505","white","$25000 or more"
"13506","white","$7000 to 7999"
"13507","white","$8000 to 9999"
"13508","white","$25000 or more"
"13509","white","$25000 or more"
"13510","white","$25000 or more"
"13511","white","$10000 - 14999"
"13512","white","$25000 or more"
"13513","white","$25000 or more"
"13514","white","$1000 to 2999"
"13516","white","$25000 or more"
"13517","white","$15000 - 19999"
"13519","white","$20000 - 24999"
"13520","white","$5000 to 5999"
"13521","white","$25000 or more"
"13522","white","$7000 to 7999"
"13523","white","$20000 - 24999"
"13525","white","$20000 - 24999"
"13526","white","$5000 to 5999"
"13527","white","$4000 to 4999"
"13528","white","$7000 to 7999"
"13529","other","$15000 - 19999"
"13530","white","$10000 - 14999"
"13531","white","$10000 - 14999"
"13532","white","$25000 or more"
"13533","white","$20000 - 24999"
"13534","white","$25000 or more"
"13535","white","$10000 - 14999"
"13536","white","$25000 or more"
"13537","white","$8000 to 9999"
"13538","white","$25000 or more"
"13539","white","$15000 - 19999"
"13541","white","$20000 - 24999"
"13542","white","$25000 or more"
"13543","white","$20000 - 24999"
"13544","white","$10000 - 14999"
"13545","white","$6000 to 6999"
"13546","white","$25000 or more"
"13547","white","$25000 or more"
"13548","white","$1000 to 2999"
"13549","white","$20000 - 24999"
"13550","white","$3000 to 3999"
"13551","white","$10000 - 14999"
"13552","white","$10000 - 14999"
"13553","white","$15000 - 19999"
"13554","white","$8000 to 9999"
"13555","white","$4000 to 4999"
"13556","white","$4000 to 4999"
"13557","white","$20000 - 24999"
"13558","white","$10000 - 14999"
"13559","white","$25000 or more"
"13560","white","$10000 - 14999"
"13561","white","$25000 or more"
"13562","white","$20000 - 24999"
"13563","white","$15000 - 19999"
"13564","white","$15000 - 19999"
"13566","white","$4000 to 4999"
"13567","white","$10000 - 14999"
"13568","white","$4000 to 4999"
"13569","white","$8000 to 9999"
"13570","white","$4000 to 4999"
"13571","white","$20000 - 24999"
"13572","white","$7000 to 7999"
"13573","white","$15000 - 19999"
"13574","white","$4000 to 4999"
"13575","white","$25000 or more"
"13576","white","$1000 to 2999"
"13577","white","$25000 or more"
"13578","white","$15000 - 19999"
"13579","white","$3000 to 3999"
"13580","white","$3000 to 3999"
"13581","white","$15000 - 19999"
"13582","white","$5000 to 5999"
"13584","white","$25000 or more"
"13587","white","$4000 to 4999"
"13588","white","$3000 to 3999"
"13590","white","$15000 - 19999"
"13591","white","$10000 - 14999"
"13592","white","$8000 to 9999"
"13593","white","$10000 - 14999"
"13594","white","$20000 - 24999"
"13595","white","$4000 to 4999"
"13596","black","$6000 to 6999"
"13598","white","$10000 - 14999"
"13601","white","$8000 to 9999"
"13602","white","$25000 or more"
"13603","black","lt $1000"
"13604","black","$1000 to 2999"
"13605","white","$10000 - 14999"
"13606","white","$3000 to 3999"
"13608","white","$6000 to 6999"
"13609","white","$25000 or more"
"13610","white","$10000 - 14999"
"13611","white","$10000 - 14999"
"13614","white","$25000 or more"
"13616","white","$10000 - 14999"
"13617","white","$10000 - 14999"
"13618","white","$1000 to 2999"
"13619","white","$20000 - 24999"
"13620","white","$10000 - 14999"
"13621","white","$6000 to 6999"
"13622","white","$3000 to 3999"
"13623","white","$10000 - 14999"
"13624","white","$20000 - 24999"
"13625","white","$20000 - 24999"
"13626","white","$20000 - 24999"
"13628","black","$8000 to 9999"
"13629","black","$5000 to 5999"
"13632","black","$8000 to 9999"
"13633","black","$15000 - 19999"
"13634","black","$7000 to 7999"
"13635","black","$7000 to 7999"
"13636","black","$25000 or more"
"13637","black","$10000 - 14999"
"13638","black","$4000 to 4999"
"13639","black","$20000 - 24999"
"13640","black","$25000 or more"
"13641","black","$25000 or more"
"13642","black","$25000 or more"
"13643","black","$25000 or more"
"13644","black","lt $1000"
"13645","black","$6000 to 6999"
"13647","black","$10000 - 14999"
"13652","black","$8000 to 9999"
"13653","black","$20000 - 24999"
"13654","black","$5000 to 5999"
"13655","black","$3000 to 3999"
"13656","black","$5000 to 5999"
"13657","black","lt $1000"
"13658","black","$1000 to 2999"
"13659","black","$1000 to 2999"
"13660","black","$10000 - 14999"
"13661","black","$8000 to 9999"
"13662","black","$10000 - 14999"
"13663","black","$4000 to 4999"
"13664","black","$3000 to 3999"
"13665","black","$5000 to 5999"
"13666","black","$25000 or more"
"13667","black","$4000 to 4999"
"13668","black","$8000 to 9999"
"13669","black","$15000 - 19999"
"13670","black","$10000 - 14999"
"13671","black","$8000 to 9999"
"13672","black","$3000 to 3999"
"13673","black","$8000 to 9999"
"13674","black","$5000 to 5999"
"13675","black","$3000 to 3999"
"13676","black","$25000 or more"
"13677","black","$10000 - 14999"
"13678","black","$15000 - 19999"
"13679","black","$20000 - 24999"
"13680","black","$4000 to 4999"
"13681","black","$25000 or more"
"13682","black","$25000 or more"
"13683","black","$8000 to 9999"
"13684","black","$15000 - 19999"
"13685","black","$15000 - 19999"
"13686","black","$20000 - 24999"
"13687","black","$10000 - 14999"
"13688","black","$10000 - 14999"
"13689","black","$25000 or more"
"13690","black","$25000 or more"
"13691","black","$25000 or more"
"13692","black","$20000 - 24999"
"13694","black","$10000 - 14999"
"13695","black","$20000 - 24999"
"13696","black","$10000 - 14999"
"13697","black","$10000 - 14999"
"13698","black","$8000 to 9999"
"13699","black","$25000 or more"
"13700","black","$1000 to 2999"
"13701","black","$25000 or more"
"13702","black","$25000 or more"
"13703","black","$20000 - 24999"
"13704","black","$20000 - 24999"
"13705","black","$10000 - 14999"
"13706","black","$3000 to 3999"
"13707","black","$6000 to 6999"
"13708","black","$25000 or more"
"13709","black","$1000 to 2999"
"13710","black","$6000 to 6999"
"13711","black","lt $1000"
"13712","black","$6000 to 6999"
"13713","black","$1000 to 2999"
"13714","black","$10000 - 14999"
"13715","black","$6000 to 6999"
"13716","black","$20000 - 24999"
"13717","black","$10000 - 14999"
"13718","black","$4000 to 4999"
"13719","black","$10000 - 14999"
"13721","black","$3000 to 3999"
"13722","black","$25000 or more"
"13723","black","$10000 - 14999"
"13724","black","$15000 - 19999"
"13725","black","$15000 - 19999"
"13726","black","$3000 to 3999"
"13727","black","$4000 to 4999"
"13728","black","$6000 to 6999"
"13729","black","$3000 to 3999"
"13730","black","$8000 to 9999"
"13731","black","$6000 to 6999"
"13732","black","$10000 - 14999"
"13733","black","$7000 to 7999"
"13734","black","$15000 - 19999"
"13735","black","$3000 to 3999"
"13736","black","$3000 to 3999"
"13737","black","$4000 to 4999"
"13739","black","$3000 to 3999"
"13740","black","$10000 - 14999"
"13741","black","$10000 - 14999"
"13742","black","$1000 to 2999"
"13743","black","$1000 to 2999"
"13744","black","$7000 to 7999"
"13745","black","$5000 to 5999"
"13746","black","$10000 - 14999"
"13747","black","$15000 - 19999"
"13748","black","lt $1000"
"13749","black","$8000 to 9999"
"13750","black","$7000 to 7999"
"13751","black","$5000 to 5999"
"13752","black","$4000 to 4999"
"13753","black","$1000 to 2999"
"13755","black","$10000 - 14999"
"13756","black","$5000 to 5999"
"13757","black","$10000 - 14999"
"13758","black","$3000 to 3999"
"13759","black","$8000 to 9999"
"13760","black","$6000 to 6999"
"13761","black","$4000 to 4999"
"13762","black","$7000 to 7999"
"13764","black","$20000 - 24999"
"13766","black","$25000 or more"
"13767","black","$10000 - 14999"
"13768","black","$10000 - 14999"
"13769","black","$20000 - 24999"
"13770","black","$1000 to 2999"
"13771","black","$7000 to 7999"
"13772","black","$25000 or more"
"13773","black","$8000 to 9999"
"13775","black","$5000 to 5999"
"13778","black","$25000 or more"
"13779","black","$15000 - 19999"
"13780","black","$6000 to 6999"
"13781","black","$20000 - 24999"
"13782","black","$8000 to 9999"
"13783","black","$8000 to 9999"
"13784","black","$5000 to 5999"
"13785","black","lt $1000"
"13786","black","$20000 - 24999"
"13787","black","lt $1000"
"13788","black","lt $1000"
"13789","black","$5000 to 5999"
"13790","black","$25000 or more"
"13791","black","$10000 - 14999"
"13792","black","$7000 to 7999"
"13794","black","$10000 - 14999"
"13795","black","$10000 - 14999"
"13796","black","$25000 or more"
"13798","black","$25000 or more"
"13800","black","$20000 - 24999"
"13803","black","$10000 - 14999"
"13804","black","$25000 or more"
"13805","black","$25000 or more"
"13806","black","$15000 - 19999"
"13807","black","$25000 or more"
"13808","black","$25000 or more"
"13811","black","$25000 or more"
"13812","black","$25000 or more"
"13813","black","$25000 or more"
"13814","black","$25000 or more"
"13815","black","$10000 - 14999"
"13816","black","$25000 or more"
"13818","black","$25000 or more"
"13819","black","$25000 or more"
"13820","black","$6000 to 6999"
"13821","black","$8000 to 9999"
"13822","black","$25000 or more"
"13823","black","$15000 - 19999"
"13824","black","$20000 - 24999"
"13825","black","$4000 to 4999"
"13826","black","$10000 - 14999"
"13828","black","$15000 - 19999"
"13829","black","$3000 to 3999"
"13830","black","$4000 to 4999"
"13831","black","$15000 - 19999"
"13832","black","$6000 to 6999"
"13833","black","$15000 - 19999"
"13834","black","$10000 - 14999"
"13835","black","$25000 or more"
"13836","black","$25000 or more"
"13837","black","$20000 - 24999"
"13838","black","$25000 or more"
"13839","black","$15000 - 19999"
"13840","black","$10000 - 14999"
"13841","black","$4000 to 4999"
"13842","black","$3000 to 3999"
"13843","black","$1000 to 2999"
"13844","black","$5000 to 5999"
"13846","black","$3000 to 3999"
"13847","black","$4000 to 4999"
"13848","black","$7000 to 7999"
"13849","black","$1000 to 2999"
"13850","black","$4000 to 4999"
"13852","black","$3000 to 3999"
"13853","black","$8000 to 9999"
"13854","black","$3000 to 3999"
"13855","black","$1000 to 2999"
"13857","black","$10000 - 14999"
"13858","black","$15000 - 19999"
"13859","black","$15000 - 19999"
"13861","black","$3000 to 3999"
"13862","black","$5000 to 5999"
"13863","black","$15000 - 19999"
"13864","black","$10000 - 14999"
"13865","black","$25000 or more"
"13866","black","$4000 to 4999"
"13867","black","$8000 to 9999"
"13869","black","$25000 or more"
"13871","black","$10000 - 14999"
"13872","black","$20000 - 24999"
"13873","black","$10000 - 14999"
"13874","black","$8000 to 9999"
"13875","black","$25000 or more"
"13879","black","$7000 to 7999"
"13880","black","$3000 to 3999"
"13882","black","$25000 or more"
"13883","black","$10000 - 14999"
"13884","black","$15000 - 19999"
"13885","black","$5000 to 5999"
"13886","black","$25000 or more"
"13887","black","$6000 to 6999"
"13888","black","$8000 to 9999"
"13889","black","$20000 - 24999"
"13890","black","$6000 to 6999"
"13891","black","$6000 to 6999"
"13892","black","$5000 to 5999"
"13893","black","$1000 to 2999"
"13894","black","$7000 to 7999"
"13895","black","$1000 to 2999"
"13896","black","$1000 to 2999"
"13897","black","$3000 to 3999"
"13898","black","$15000 - 19999"
"13899","black","$10000 - 14999"
"13900","black","$6000 to 6999"
"13901","black","$5000 to 5999"
"13902","black","$6000 to 6999"
"13903","black","$6000 to 6999"
"13904","black","$15000 - 19999"
"13905","black","$6000 to 6999"
"13906","black","$25000 or more"
"13907","black","$5000 to 5999"
"13908","black","$15000 - 19999"
"13909","black","$25000 or more"
"13910","black","$25000 or more"
"13911","black","$25000 or more"
"13912","black","$25000 or more"
"13913","black","$4000 to 4999"
"13914","black","$10000 - 14999"
"13915","black","$25000 or more"
"13916","black","$10000 - 14999"
"13917","black","$5000 to 5999"
"13918","black","$6000 to 6999"
"13919","black","$10000 - 14999"
"13920","black","$25000 or more"
"13921","black","$15000 - 19999"
"13922","black","$3000 to 3999"
"13923","black","$25000 or more"
"13924","black","lt $1000"
"13925","black","$4000 to 4999"
"13926","black","$6000 to 6999"
"13927","black","$20000 - 24999"
"13928","black","lt $1000"
"13929","black","$1000 to 2999"
"13930","black","$5000 to 5999"
"13931","black","$10000 - 14999"
"13932","black","$8000 to 9999"
"13934","black","lt $1000"
"13935","black","$15000 - 19999"
"13936","black","$25000 or more"
"13937","black","$3000 to 3999"
"13938","black","$10000 - 14999"
"13939","black","$15000 - 19999"
"13941","black","$25000 or more"
"13942","black","$15000 - 19999"
"13945","black","$10000 - 14999"
"13946","black","$5000 to 5999"
"13947","black","$10000 - 14999"
"13948","black","$10000 - 14999"
"13949","black","$10000 - 14999"
"13950","black","$25000 or more"
"13951","black","$10000 - 14999"
"13952","black","$7000 to 7999"
"13953","black","$10000 - 14999"
"13954","black","$25000 or more"
"13955","black","$25000 or more"
"13956","black","$20000 - 24999"
"13957","black","$1000 to 2999"
"13958","black","$4000 to 4999"
"13959","black","$20000 - 24999"
"13960","black","$1000 to 2999"
"13961","black","$10000 - 14999"
"13962","black","$10000 - 14999"
"13963","black","$15000 - 19999"
"13964","black","$1000 to 2999"
"13965","black","$25000 or more"
"13966","black","lt $1000"
"13967","black","lt $1000"
"13968","black","$10000 - 14999"
"13969","black","$1000 to 2999"
"13970","black","$3000 to 3999"
"13971","black","$20000 - 24999"
"13972","black","$20000 - 24999"
"13973","black","$20000 - 24999"
"13974","black","$5000 to 5999"
"13975","black","$25000 or more"
"13976","black","$3000 to 3999"
"13977","black","$8000 to 9999"
"13978","black","$25000 or more"
"13979","black","$3000 to 3999"
"13980","black","$10000 - 14999"
"13981","white","$5000 to 5999"
"13982","white","$20000 - 24999"
"13983","white","$25000 or more"
"13984","white","$25000 or more"
"13985","white","$8000 to 9999"
"13986","white","$25000 or more"
"13987","white","$20000 - 24999"
"13988","white","$5000 to 5999"
"13989","white","$25000 or more"
"13990","white","$25000 or more"
"13991","white","$25000 or more"
"13992","white","$25000 or more"
"13993","white","$20000 - 24999"
"13994","white","$25000 or more"
"13996","white","$25000 or more"
"13997","white","$15000 - 19999"
"13998","white","$25000 or more"
"13999","white","$25000 or more"
"14000","white","$25000 or more"
"14001","white","$20000 - 24999"
"14002","white","$25000 or more"
"14003","white","$25000 or more"
"14004","white","$15000 - 19999"
"14005","white","$25000 or more"
"14006","white","$25000 or more"
"14007","white","$25000 or more"
"14010","white","$25000 or more"
"14011","white","$1000 to 2999"
"14012","white","$25000 or more"
"14013","white","$25000 or more"
"14014","white","$25000 or more"
"14015","white","$1000 to 2999"
"14016","black","$15000 - 19999"
"14017","black","$5000 to 5999"
"14019","white","$10000 - 14999"
"14020","white","$8000 to 9999"
"14021","white","$10000 - 14999"
"14022","white","$25000 or more"
"14023","white","$4000 to 4999"
"14024","white","$20000 - 24999"
"14025","white","$25000 or more"
"14026","white","$25000 or more"
"14028","white","$8000 to 9999"
"14029","white","$10000 - 14999"
"14030","white","$15000 - 19999"
"14031","white","$25000 or more"
"14032","white","$3000 to 3999"
"14033","white","$7000 to 7999"
"14034","white","$25000 or more"
"14035","black","$25000 or more"
"14036","white","$8000 to 9999"
"14037","white","$10000 - 14999"
"14038","black","$8000 to 9999"
"14039","white","$8000 to 9999"
"14040","black","$15000 - 19999"
"14041","white","$25000 or more"
"14042","white","$25000 or more"
"14044","white","$8000 to 9999"
"14045","white","$25000 or more"
"14046","white","$20000 - 24999"
"14047","black","$25000 or more"
"14048","black","$25000 or more"
"14049","black","$25000 or more"
"14050","black","$25000 or more"
"14051","black","$25000 or more"
"14052","black","$25000 or more"
"14053","black","$25000 or more"
"14054","white","$7000 to 7999"
"14056","white","$15000 - 19999"
"14057","white","$15000 - 19999"
"14058","white","$25000 or more"
"14059","white","$10000 - 14999"
"14060","white","$20000 - 24999"
"14061","white","$20000 - 24999"
"14062","white","$25000 or more"
"14063","white","$20000 - 24999"
"14064","black","$20000 - 24999"
"14065","black","$5000 to 5999"
"14068","white","$20000 - 24999"
"14069","white","$25000 or more"
"14072","white","$8000 to 9999"
"14073","white","$25000 or more"
"14074","white","$4000 to 4999"
"14075","white","$20000 - 24999"
"14076","white","$25000 or more"
"14077","white","$15000 - 19999"
"14078","white","$10000 - 14999"
"14079","white","$10000 - 14999"
"14080","white","$10000 - 14999"
"14081","white","$15000 - 19999"
"14082","white","$10000 - 14999"
"14083","white","$20000 - 24999"
"14086","white","$10000 - 14999"
"14087","black","$15000 - 19999"
"14088","white","$25000 or more"
"14089","white","$10000 - 14999"
"14090","white","$25000 or more"
"14091","white","$10000 - 14999"
"14092","white","$25000 or more"
"14093","white","$25000 or more"
"14094","white","$25000 or more"
"14095","white","$10000 - 14999"
"14096","white","$25000 or more"
"14097","white","$25000 or more"
"14098","white","$25000 or more"
"14099","white","$25000 or more"
"14100","white","$20000 - 24999"
"14101","white","$10000 - 14999"
"14102","white","$25000 or more"
"14103","white","$25000 or more"
"14104","white","$20000 - 24999"
"14107","white","$5000 to 5999"
"14108","white","$25000 or more"
"14111","white","$6000 to 6999"
"14112","white","$4000 to 4999"
"14113","white","$25000 or more"
"14114","white","$25000 or more"
"14115","black","$10000 - 14999"
"14116","black","$1000 to 2999"
"14117","white","$3000 to 3999"
"14118","white","$8000 to 9999"
"14119","white","$15000 - 19999"
"14120","white","$7000 to 7999"
"14121","white","$4000 to 4999"
"14122","black","$8000 to 9999"
"14123","white","$25000 or more"
"14124","white","$6000 to 6999"
"14125","white","$25000 or more"
"14126","white","$25000 or more"
"14127","white","$20000 - 24999"
"14128","white","$1000 to 2999"
"14129","white","$4000 to 4999"
"14130","white","$25000 or more"
"14131","white","$25000 or more"
"14132","white","$8000 to 9999"
"14133","white","$20000 - 24999"
"14134","white","$20000 - 24999"
"14135","white","$25000 or more"
"14136","white","$25000 or more"
"14137","white","$10000 - 14999"
"14138","white","$10000 - 14999"
"14139","white","$10000 - 14999"
"14140","white","$25000 or more"
"14141","white","$20000 - 24999"
"14142","white","$25000 or more"
"14143","white","$10000 - 14999"
"14145","black","$7000 to 7999"
"14146","black","$4000 to 4999"
"14147","black","$20000 - 24999"
"14148","white","$15000 - 19999"
"14149","white","$3000 to 3999"
"14151","white","$5000 to 5999"
"14152","white","$10000 - 14999"
"14153","white","$20000 - 24999"
"14154","white","$20000 - 24999"
"14155","white","$15000 - 19999"
"14156","white","$25000 or more"
"14157","white","$15000 - 19999"
"14159","white","$25000 or more"
"14161","white","$25000 or more"
"14162","white","$10000 - 14999"
"14163","white","$20000 - 24999"
"14164","white","$25000 or more"
"14165","white","$20000 - 24999"
"14166","white","$5000 to 5999"
"14167","white","$25000 or more"
"14168","white","$15000 - 19999"
"14169","white","$15000 - 19999"
"14170","white","$25000 or more"
"14172","black","$7000 to 7999"
"14173","black","$10000 - 14999"
"14174","black","$20000 - 24999"
"14175","black","$15000 - 19999"
"14176","white","$1000 to 2999"
"14177","white","$15000 - 19999"
"14178","white","$25000 or more"
"14179","white","$6000 to 6999"
"14180","white","$10000 - 14999"
"14181","white","$20000 - 24999"
"14182","white","$6000 to 6999"
"14183","white","$25000 or more"
"14184","white","$25000 or more"
"14185","white","$8000 to 9999"
"14187","white","$10000 - 14999"
"14188","white","$25000 or more"
"14189","white","$25000 or more"
"14190","white","$15000 - 19999"
"14191","white","$20000 - 24999"
"14192","white","$10000 - 14999"
"14193","white","$25000 or more"
"14195","white","$25000 or more"
"14197","white","$25000 or more"
"14198","white","$25000 or more"
"14199","white","$25000 or more"
"14200","white","$25000 or more"
"14201","white","$25000 or more"
"14202","white","$25000 or more"
"14203","white","$20000 - 24999"
"14204","white","$5000 to 5999"
"14206","white","$15000 - 19999"
"14207","white","$3000 to 3999"
"14208","white","$1000 to 2999"
"14209","white","$20000 - 24999"
"14210","white","$25000 or more"
"14211","white","$7000 to 7999"
"14212","white","$8000 to 9999"
"14213","white","$15000 - 19999"
"14214","white","$10000 - 14999"
"14215","white","$25000 or more"
"14216","white","$25000 or more"
"14217","white","$25000 or more"
"14218","white","$25000 or more"
"14219","white","$25000 or more"
"14220","white","$25000 or more"
"14221","white","$15000 - 19999"
"14222","white","$25000 or more"
"14223","white","$10000 - 14999"
"14224","white","$4000 to 4999"
"14226","white","$25000 or more"
"14227","white","$25000 or more"
"14228","white","$20000 - 24999"
"14230","white","$15000 - 19999"
"14232","white","$25000 or more"
"14233","white","$20000 - 24999"
"14234","black","$20000 - 24999"
"14235","white","$15000 - 19999"
"14236","white","$20000 - 24999"
"14237","white","$15000 - 19999"
"14238","black","$7000 to 7999"
"14239","white","$25000 or more"
"14240","white","$8000 to 9999"
"14241","white","$8000 to 9999"
"14242","white","$25000 or more"
"14243","white","$15000 - 19999"
"14244","white","$20000 - 24999"
"14245","white","$10000 - 14999"
"14246","white","$25000 or more"
"14247","white","$15000 - 19999"
"14248","white","$20000 - 24999"
"14249","white","$20000 - 24999"
"14250","white","$15000 - 19999"
"14251","white","$25000 or more"
"14252","white","$25000 or more"
"14253","white","$25000 or more"
"14254","white","$25000 or more"
"14257","white","$25000 or more"
"14258","white","$25000 or more"
"14259","white","$7000 to 7999"
"14260","white","$10000 - 14999"
"14261","white","$10000 - 14999"
"14262","white","$10000 - 14999"
"14263","white","$7000 to 7999"
"14264","white","$7000 to 7999"
"14265","white","$15000 - 19999"
"14266","white","$8000 to 9999"
"14267","white","$25000 or more"
"14268","white","$25000 or more"
"14269","white","$20000 - 24999"
"14270","white","$15000 - 19999"
